"Region","Year","horizon","n_future","n_past","future_window_years_min","future_window_years_mean","future_window_years_max","past_window_years_min","past_window_years_mean","past_window_years_max","predictive_capacity","predictive_capacity_se","predictive_capacity_p","past_at_horizon","past_at_horizon_se","past_at_horizon_p"
"HIC",2012,2,4,4,3,3,3,3,3,3,4.89287999209833,4.87786106486042,0.421466446930252,2.4109569968149,5.45602605428598,0.701757536166969
"HIC",2012,3,4,4,4,4,4,4,4,4,5.22985694133933,4.63053021254124,0.375959260954014,1.31029751379598,4.84360596585985,0.812119186055682
"HIC",2012,4,4,4,5,5,5,5,5,5,5.19380407697116,4.21327361814257,0.342919313889039,1.99276696764366,4.78158547369234,0.71732590301743
"HIC",2012,5,4,4,6,6,6,6,6,6,5.19604932637681,4.22128720676125,0.343467550653404,2.14589638607286,5.15355606658658,0.717555104035684
"HIC",2013,1,4,4,2,2,2,2,2,2,5.68858162361281,2.24459301841138,0.126757329111311,5.38757607629691,3.38512351402998,0.252475709388195
"HIC",2013,2,4,4,3,3,3,3,3,3,5.69586611272412,2.25209869065493,0.127184740701884,4.28882893203187,3.19522810297837,0.31158549525445
"HIC",2013,3,4,4,4,4,4,4,4,4,5.51300233805861,1.8542952005535,0.0969570922890323,4.24192380154706,3.52625744669607,0.352078958757003
"HIC",2013,4,4,4,5,5,5,5,5,5,5.39182136770213,2.07445741417457,0.121607172964182,3.33423527750879,3.3381190113514,0.42309780341174
"HIC",2013,5,4,4,6,6,6,6,6,6,5.44937484129156,2.30178636009719,0.141507342725115,3.58662803540163,3.22745221596861,0.382137221986917
"HIC",2014,1,4,4,2,2,2,2,2,2,2.27505551705634,1.69433367033403,0.311455246723605,2.73315640826492,1.349390444247,0.180080453549132
"HIC",2014,2,4,4,3,3,3,3,3,3,2.12535743260537,1.5378530494455,0.301078277838908,2.99958539759408,1.16447427772691,0.1234194912507
"HIC",2014,3,4,4,4,4,4,4,4,4,2.22995731278288,1.49152136441833,0.27351705330813,2.74796087277426,0.994511021592997,0.10981982334585
"HIC",2014,4,4,4,5,5,5,5,5,5,2.30218353601875,1.58678476651882,0.283910249355987,2.91241148718259,0.960934836489328,0.0937979877935737
"HIC",2014,5,4,4,6,6,6,6,6,6,2.36133530496787,1.59052772018031,0.275931765515007,2.65263559788609,0.790475879276689,0.0784892287908968
"HIC",2015,1,4,4,2,2,2,2,2,2,3.3789546603101,1.62908866674905,0.173777956685568,3.96843207671309,1.64587276857722,0.137424702870878
"HIC",2015,2,4,4,3,3,3,3,3,3,3.7238327068069,1.38076728774704,0.114375868832764,4.11752985139619,1.52734089571961,0.114450169033781
"HIC",2015,3,4,4,4,4,4,4,4,4,4.10212841948978,1.27667727513842,0.0847308533501446,4.1906774764071,1.53785619972303,0.112411119054502
"HIC",2015,4,4,4,5,5,5,5,5,5,4.31695183187076,1.06834539360328,0.0561372399900851,3.94110189188703,1.29474729329822,0.0931010931057435
"HIC",2015,5,4,4,6,6,6,6,6,6,3.90835624496076,0.891027041122053,0.0482446081118964,4.07851806959758,1.29106000747481,0.0872847486002901
"HIC",2016,1,4,4,2,2,2,2,2,2,3.17924478830319,0.655482906149393,0.0399767149545074,3.16010898275623,0.921525628727015,0.0755293387175047
"HIC",2016,2,4,4,3,3,3,3,3,3,3.59412723376093,0.58195126493802,0.025229265969551,3.24081717768717,1.00551114108027,0.0842737947907895
"HIC",2016,3,4,4,4,4,4,4,4,4,3.7609381517238,0.408916598176317,0.0116160431189704,3.45790805654114,0.794125823284234,0.048904777217604
"HIC",2016,4,4,4,5,5,5,5,5,5,3.30938238827217,0.334191386850846,0.0100441869026112,3.59167847356204,0.690552789800298,0.0350346208346043
"HIC",2016,5,4,4,5,5.75,6,6,6,6,3.25819783498674,0.0985760940873453,0.000914097479512364,3.40927837154923,0.506632347286937,0.021377568330863
"HIC",2017,1,4,4,2,2,2,2,2,2,3.22945027085281,1.4407177272879,0.15425458970652,2.87166445573879,0.674943879101671,0.0510487122566014
"HIC",2017,2,4,4,3,3,3,3,3,3,3.12653709048138,1.58713486382261,0.187658339058068,3.0220697200458,0.768440927929334,0.0589930169675912
"HIC",2017,3,4,4,4,4,4,4,4,4,2.59000097425925,1.37285024708984,0.199852135951602,3.08269461627553,0.759387728829646,0.0556644119930779
"HIC",2017,4,4,4,4,4.75,5,5,5,5,2.45644951706384,1.37134738158552,0.215129015967413,3.16222397362729,0.761213635986173,0.0533516346045097
"HIC",2017,5,4,4,4,5.5,6,6,6,6,2.3850379672079,1.37988512341751,0.226051854395995,3.21219898074343,0.799796108528571,0.056767100853698
"HIC",2018,1,4,4,2,2,2,2,2,2,2.3800407491291,1.46494173530916,0.245730361675508,2.38453733333641,1.2751968222615,0.202414336372215
"HIC",2018,2,4,4,3,3,3,3,3,3,1.84133305629557,1.16562511054762,0.254946577636742,2.22027715817181,1.00733907826378,0.158351375697152
"HIC",2018,3,4,4,3,3.75,4,4,4,4,1.86884100903295,1.0488124323496,0.216718774044571,2.26401566150585,1.01433979721027,0.155284916238566
"HIC",2018,4,4,4,3,4.5,5,5,5,5,1.91131682175854,0.980140528621087,0.190474771075058,2.24952527267165,1.02610894191965,0.159674517961994
"HIC",2018,5,4,4,3,5,6,6,6,6,1.95443389741598,0.925327774397838,0.16906105803567,2.35826781728569,0.936350683273745,0.12805725450673
"HIC",2019,1,4,4,2,2,2,2,2,2,1.47617295400802,1.01493000578224,0.283043831756334,2.12565514232171,1.57578610019509,0.309787230480022
"HIC",2019,2,4,4,2,2.75,3,3,3,3,1.74399364951328,0.835663775055936,0.172167717982549,2.09131447442202,1.46230474589663,0.288942702719681
"HIC",2019,3,4,4,2,3.5,4,4,4,4,1.90944336504532,0.71873623583603,0.117278149642119,1.89045458618345,1.32029616742241,0.288527225621096
"HIC",2019,4,4,4,2,4,5,5,5,5,1.93306592222232,0.647253423061456,0.0962064142746679,1.88922467121763,1.33361069814572,0.292291425909134
"HIC",2019,5,4,4,2,4.25,6,6,6,6,1.43645963309901,0.698344711626535,0.175969475056259,1.82317687899377,1.36020429775592,0.312096165439494
"HIC",2020,1,4,4,1,1.75,2,2,2,2,1.31969259663986,0.385890264151703,0.0758969863317938,1.39116860210324,0.843570351785702,0.240893974605643
"HIC",2020,2,4,4,1,2.5,3,3,3,3,1.55281516146568,0.322987069625887,0.0406449271638886,1.55239595876324,1.04871958647379,0.276942515392326
"HIC",2020,3,4,4,1,3,4,4,4,4,1.53300938718484,0.270401536081095,0.0297315200022245,1.621917253202,1.05279054726564,0.263324139058988
"HIC",2020,4,4,4,1,3.25,5,5,5,5,0.992866978186332,0.337181330712358,0.0985726880714955,1.50763473870223,1.01099989929136,0.274404057466197
"HIC",2020,5,4,4,1,3.25,5,6,6,6,0.992866978186332,0.337181330712358,0.0985726880714955,1.53264194977096,1.04933181835735,0.281579987080589
"HIC",2021,1,3,4,2,2,2,1,1.75,2,NA,NA,NA,0.28288208282806,1.2770886495917,0.845258584797008
"HIC",2021,2,3,4,2,2.66666666666667,3,2,2.75,3,NA,NA,NA,0.0690350434684855,1.69662957052234,0.971240065764551
"HIC",2021,3,3,4,2,3,4,3,3.75,4,NA,NA,NA,-0.180502103336023,1.87181781324808,0.931970637010375
"HIC",2021,4,3,4,2,3,4,4,4.75,5,NA,NA,NA,-0.208420501112255,1.92127567743843,0.923517547362616
"HIC",2021,5,3,4,2,3,4,5,5.75,6,NA,NA,NA,-0.208534014804429,1.82881228816765,0.919631538843722
"UMC",2006,1,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
"UMC",2006,2,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA
"UMC",2006,3,3,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA
"UMC",2006,4,3,3,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA
"UMC",2006,5,3,3,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA
"UMC",2007,1,4,4,2,2,2,2,2,2,-0.55603816910034,3.24794493093665,0.879822843911039,-0.738232658435297,3.19862267093445,0.838932654956454
"UMC",2007,2,4,4,3,3,3,3,3,3,-1.15707039772582,2.91676904495445,0.729917988981036,-0.904090550527621,3.41804072832645,0.816154337046496
"UMC",2007,3,4,4,4,4,4,4,4,4,-1.16866197198037,2.99382066017487,0.733925216301088,-1.05845562367933,3.44357705333423,0.787614403467533
"UMC",2007,4,4,4,5,5,5,5,5,5,-1.02451902672536,2.92254529296474,0.759400343560734,-1.14000794816308,3.31562101441063,0.763757732677002
"UMC",2007,5,4,4,6,6,6,6,6,6,-0.892901187217875,2.97778480610874,0.792582193735824,-1.19488504453867,3.43019443219992,0.760832623984135
"UMC",2008,1,4,4,2,2,2,2,2,2,4.01198254486536,3.67634074189857,0.389079667560334,5.94335598138618,3.42836411600236,0.225129345649851
"UMC",2008,2,4,4,3,3,3,3,3,3,4.38747642144553,3.83590385352363,0.371149739215469,5.63600485092218,3.38602080734694,0.237924075379009
"UMC",2008,3,4,4,4,4,4,4,4,4,4.43706165194077,3.60938913735556,0.343954992336767,5.87830092201852,3.68897076810294,0.252075123034033
"UMC",2008,4,4,4,5,5,5,5,5,5,4.66790948488466,3.6010649648175,0.324304935878605,5.86894322494308,3.84659805147413,0.266594797762446
"UMC",2008,5,4,4,6,6,6,6,6,6,4.72783694909585,3.51295966830887,0.310624971996215,5.60890650109399,3.85693880518039,0.283096542763292
"UMC",2009,1,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
"UMC",2009,2,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA
"UMC",2009,3,3,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA
"UMC",2009,4,3,3,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA
"UMC",2009,5,3,3,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA
"UMC",2010,1,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
"UMC",2010,2,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA
"UMC",2010,3,3,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA
"UMC",2010,4,3,3,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA
"UMC",2010,5,3,3,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA
"UMC",2011,1,4,4,2,2,2,2,2,2,11.2043012487056,5.48394779108665,0.177761425223347,10.4585561797844,6.34658204161735,0.241135968247154
"UMC",2011,2,4,4,3,3,3,3,3,3,11.7925648256625,4.7923292366431,0.132987354965166,9.01304702643142,6.87684658283201,0.320262645381333
"UMC",2011,3,4,4,4,4,4,4,4,4,12.1900160583233,4.19042579147071,0.100645337831481,9.41948151706912,6.63814135801825,0.291701180647915
"UMC",2011,4,4,4,5,5,5,5,5,5,12.1544789467681,4.38015489278909,0.109036715323161,10.06802684403,6.75621331341074,0.274644614788869
"UMC",2011,5,4,4,6,6,6,6,6,6,12.0599506691412,4.11495989344331,0.0993719769536211,10.0331036346649,6.71272076015975,0.273620032949426
"UMC",2012,1,4,4,2,2,2,2,2,2,3.19814624439564,8.97371581228232,0.75563397711985,1.5962553246457,8.71381980657077,0.871540693710744
"UMC",2012,2,4,4,3,3,3,3,3,3,4.12553509087423,8.60811896661168,0.679040909317776,0.840446125936723,9.11308430056846,0.934925925190318
"UMC",2012,3,4,4,4,4,4,4,4,4,3.9377922201371,8.6258225941888,0.692805749549053,-0.599714055631418,8.75422493678211,0.951615909003436
"UMC",2012,4,4,4,5,5,5,5,5,5,3.83480712809818,8.39354896292361,0.692584283631196,-0.230118456210589,8.75750184505893,0.981422756953281
"UMC",2012,5,4,4,6,6,6,6,6,6,3.92708604012739,8.34846000988011,0.684381033730214,0.0323288680093126,9.04814051730981,0.997473526323418
"UMC",2013,1,4,4,2,2,2,2,2,2,8.13581047299697,4.06141899766566,0.183069453797988,7.30374135067395,5.18370229538941,0.294204835829536
"UMC",2013,2,4,4,3,3,3,3,3,3,7.67880701833782,4.48572756757711,0.229058679529685,6.53529855958084,5.17057346277186,0.333617586664827
"UMC",2013,3,4,4,4,4,4,4,4,4,7.48982993583432,4.31923013863152,0.225043227368519,6.19603917623774,5.60939032189793,0.384449740177372
"UMC",2013,4,4,4,5,5,5,5,5,5,7.38047966864135,4.4218885138444,0.237045814092798,5.24997673783251,5.77248127129265,0.459096703664039
"UMC",2013,5,4,4,6,6,6,6,6,6,6.91428596637022,4.34434294456452,0.252472413575126,5.27532923437522,5.77554710393136,0.457456069889658
"UMC",2014,1,4,4,2,2,2,2,2,2,4.96269342917715,0.852032110469651,0.0282341645107491,4.89667861653568,0.998250118589006,0.0391364644249098
"UMC",2014,2,4,4,3,3,3,3,3,3,4.78186153412694,0.739527400764046,0.0230921985720711,5.11232251264358,0.675171981898228,0.0169983874895773
"UMC",2014,3,4,4,4,4,4,4,4,4,4.80182859321206,0.751125960874889,0.0236058168901855,4.95913684251717,0.456578619462936,0.0083702692762748
"UMC",2014,4,4,4,5,5,5,5,5,5,4.5436741616497,0.765802706415491,0.0272508037782532,5.08083983658596,0.209813274104078,0.00170092731839241
