"Region","Risk_Type","Year","Risk_Score","best_horizon","future_shocks","past_shocks","z_risk","z_future","z_past","predictive_capacity_component","past_component","anticipatory_skill_component","predictive_capacity_component_roll3","anticipatory_skill_component_roll3"
"LMC","Geophysical",2009,1.699817161,1,1.11418907458441,1.7508685457755,-1.48649490758745,-1.66838399496015,-0.62622996009457,2.48004431240867,0.930887646659271,1.54915666574939,1.2257782035145,-0.333490758095454
"LMC","Geophysical",2010,2.027305984,1,1.91003841357327,1.11418907458441,-1.1442082991002,-0.278063999160024,-1.68093305078016,0.31816313551989,1.92333754693448,-1.60517441141459,0.995308576223109,0.0846929748274654
"LMC","Geophysical",2011,3.445,1,2.38754801696659,1.91003841357327,0.337545099883174,0.556127998320049,-0.362554187423172,0.18771828074077,-0.122378389406817,0.310096670147588,0.194246349186001,-0.366596331141201
"LMC","Geophysical",2012,2.857594513,1,1.91003841357327,2.38754801696659,-0.27640266819694,-0.278063999160024,0.428473130591021,0.0768576312973424,-0.118431116546054,0.195288747843397,0.0881919706793709,0.174518763678106
"LMC","Geophysical",2013,3.17,1,2.06920828137104,1.91003841357327,0.0501190544025477,0,-0.362554187423172,0,-0.0181708730433334,0.0181708730433334,0.11982602153182,0.173734906727952
"LMC","Geophysical",2014,3.365159129,1,2.70588775256213,2.06920828137104,0.254096569631323,1.1122559966401,-0.0988784147517744,0.282620433298118,-0.0251246659990091,0.307745099297127,0.4572487914892,0.222094582608564
"LMC","Geophysical",2015,3.871544715,1,2.86505762035991,2.70588775256213,0.783363502258122,1.39031999580012,0.955824675933817,1.08912594116948,0.748758165684249,0.340367775485231,0.384642036202831,-0.174999315175967
"LMC","Geophysical",2016,3.871527778,1,1.91003841357327,2.86505762035991,0.783345799949277,-0.278063999160024,1.21950044860521,-0.217820265859104,0.955290554451154,-1.17311082031026,0.382013214001375,-0.0665989196113235
"LMC","Geophysical",2017,4.067357513,1,2.22837814916882,1.91003841357327,0.988024222925892,0.278063999160024,-0.362554187423172,0.274733966693749,-0.358212319297308,0.632946285991057,0.837145923736612,0.577507437931123
"LMC","Geophysical",2018,4.177744288,1,3.34256722375323,2.22837814916882,1.10339889278629,2.22451199328019,0.164797357919623,2.45452407037519,0.181837222262619,2.27268684811257,1.07291068708781,0.541849498721674
"LMC","Geophysical",2019,3.964143426,1,2.38754801696659,3.34256722375323,0.880146343419334,0.556127998320049,2.01052776661941,0.489474024194504,1.76955866213311,-1.28008463793861,0.701434101483141,-0.0568562159192788
"LMC","Geophysical",2020,3.844357977,1,1.43252881017995,2.38754801696659,0.75494831464773,-1.1122559966401,0.428473130591021,-0.839695790120272,0.323475067811528,-1.1631708579318,-0.140307261109201,-0.740216033104256
"LMC","Geophysical",2021,3.365313653,1,1.91003841357327,1.43252881017995,0.254258075894058,-0.278063999160024,-1.15358150543737,-0.0707000174018345,-0.293307413959475,0.22260739655764,NA,NA
"LMC","Tech",2006,2,4,3.13559048055032,4.26493450956209,-2.49560909644066,2.14769603935762,1.92786201733454,-5.35980977221045,-4.81118998714252,-0.548619785067931,NA,NA
"LMC","Tech",2007,4.033049435,4,2.94293767560125,4.04570890393039,1.7399905969559,1.6634730256249,1.64281269077261,2.8944274228771,2.85847863450416,0.0359487883729379,-0.620130256869274,-0.216923997112412
"LMC","Tech",2008,3.45890411,4,2.72371206996956,3.83312649846935,0.543831900236817,1.11246063068767,1.36640122259135,0.604991578725522,0.743092573367764,-0.138100994642242,0.642960537031788,0.0839881386466923
"LMC","Tech",2009,2.269386064,4,2.60413446689772,3.54746889113108,-1.93437752457595,0.811908415267359,0.994973312222781,-1.57053739050726,-1.92465401271664,0.354116622209381,-0.299612623520638,0.0760457640099571
"LMC","Tech",2010,3.254899399,4,2.50448646433786,3.13559048055032,0.118814054390361,0.561448235750436,0.459426092621588,0.0667079412198245,0.0545862767570923,0.0121216644627322,-0.547635271901536,0.112845231973124
"LMC","Tech",2011,2.942,4,2.38490886126603,2.94293767560125,-0.533072011758527,0.260896020330128,0.20892819958232,-0.139076366417175,-0.111373775664434,-0.0277025907527405,-0.0202511883333698,-0.00264166583282616
"LMC","Tech",2012,3.172906212,4,2.19225605631696,2.72371206996956,-0.0520083131030333,-0.22332699340259,-0.0761211269796054,0.011614860197241,0.00395893140571107,0.00765592879152988,-0.0432432040147798,-0.0054872456786736
"LMC","Tech",2013,3.21,4,2.24540165768222,2.60413446689772,0.0252718722062418,-0.0897482309935647,-0.231602577831565,-0.00226810582440563,-0.00585303074959546,0.00358492492518983,0.0527021168522221,0.0126670528018959
"LMC","Tech",2014,3.035734227,4,2.10589445409842,2.50448646433786,-0.337788682043545,-0.440392482317256,-0.361170453541531,0.148759596183831,0.121999291494863,0.0267603046889681,-0.0055487627562781,0.0150349065615003
