"Region","Year","horizon","n_future","n_past","future_window_years_min","future_window_years_mean","future_window_years_max","past_window_years_min","past_window_years_mean","past_window_years_max","predictive_capacity","predictive_capacity_se","predictive_capacity_p","past_at_horizon","past_at_horizon_se","past_at_horizon_p"
"UMC",2006,4,6,6,5,5,5,5,5,5,-6.14155806027583,3.10160250869963,0.118784720473076,-8.02286266565486,3.10574089219895,0.0611183143547594
"UMC",2006,5,6,6,6,6,6,6,6,6,-6.1916792042457,3.001430942167,0.108095360981794,-8.24696156731748,3.2304711494624,0.063113296349495
"UMC",2007,1,8,8,2,2,2,2,2,2,-0.329838571836685,0.923603314113154,0.733225618499629,-0.367315275094132,0.922588259250156,0.704310300614968
"UMC",2007,2,8,8,3,3,3,3,3,3,-0.408685104606085,0.831376022839675,0.640482414075317,-0.272469419244323,0.986363268622522,0.79163494228582
"UMC",2007,3,8,8,4,4,4,4,4,4,-0.466984153804205,0.859910072110728,0.606657030517808,-0.40886821305856,1.02435806286418,0.703604674648582
"UMC",2007,4,8,8,5,5,5,5,5,5,-0.506080153508072,0.845472006236283,0.571344947120646,-0.49176722688068,0.999410407607667,0.64016204889108
"UMC",2007,5,8,8,6,6,6,6,6,6,-0.537660515866293,0.863319175639327,0.55634172639233,-0.524809300330924,1.03195388530204,0.629214405272029
"UMC",2008,1,8,8,2,2,2,2,2,2,0.035127020567042,1.00146285617699,0.97315717392006,0.27473060811776,1.18631538292486,0.824557653730494
"UMC",2008,2,8,8,3,3,3,3,3,3,-0.0522690450892995,1.08425393055096,0.963115575033436,0.056241468754206,1.16388860065675,0.963027930438698
"UMC",2008,3,8,8,4,4,4,4,4,4,-0.156067963742165,1.07453072921089,0.889275449740826,0.214821568401805,1.2210373974982,0.866133772294201
"UMC",2008,4,8,8,5,5,5,5,5,5,-0.201071280625816,1.11160043841333,0.862413611913131,0.0522082964000284,1.27915890026567,0.968767983230255
