"Region","Risk_Type","Year","horizon","Risk_Score","future_shocks","past_shocks","future_window_years","past_window_years"
"Global","Diseases",2011,2,3.187,0.485159724301489,1.3958981541306,3,3
"Global","Diseases",2011,3,3.187,0.491543404884404,1.20013194958789,4,4
"Global","Diseases",2011,4,3.187,0.53878264119797,1.03415625443212,5,5
"Global","Diseases",2011,5,3.187,0.572403358934652,0.953296300381874,6,6
"Global","Diseases",2012,1,3.150953496,0.421322918472346,0.517078127216061,2,2
"Global","Diseases",2012,2,3.150953496,0.45111342785928,0.655391206512538,3,3
"Global","Diseases",2012,3,3.150953496,0.520269967507518,1.15225434521604,4,4
"Global","Diseases",2012,4,3.150953496,0.564317363529627,1.04437014336478,5,5
"Global","Diseases",2012,5,3.150953496,0.591554400683395,0.932017365105493,6,6
"Global","Diseases",2013,1,3.2,0.466008682552746,0.421322918472346,2,2
"Global","Diseases",2013,2,3.2,0.553252317185909,0.485159724301489,3,3
"Global","Diseases",2013,3,3.2,0.600065974793947,0.59687413450249,4,4
"Global","Diseases",2013,4,3.2,0.625600697125605,1.0060680598673,5,5
"Global","Diseases",2013,5,3.2,0.612833335959776,0.940528939216045,6,6
"Global","Diseases",2014,1,2.849246231,0.61921701654269,0.466008682552746,2,2
"Global","Diseases",2014,2,2.849246231,0.659646993567814,0.45111342785928,3,3
"Global","Diseases",2014,3,2.849246231,0.676670141788919,0.491543404884404,4,4
"Global","Diseases",2014,4,2.849246231,0.651135419457262,0.579638196928622,5,5
"Global","Diseases",2014,5,2.849246231,0.744762734673339,0.92350579099494,6,6
"Global","Diseases",2015,1,3.331707317,0.734123267035148,0.61921701654269,2,2
"Global","Diseases",2015,2,3.331707317,0.73199537350751,0.553252317185909,3,3
"Global","Diseases",2015,3,3.331707317,0.686245662663291,0.520269967507518,4,4
"Global","Diseases",2015,4,3.331707317,0.791576392281377,0.53878264119797,5,5
"Global","Diseases",2015,5,3.331707317,1.20651563017081,0.604321761849224,6,6
"Global","Diseases",2016,1,3.100694444,0.734123267035148,0.734123267035148,2,2
"Global","Diseases",2016,2,3.100694444,0.672414354733643,0.659646993567814,3,3
"Global","Diseases",2016,3,3.100694444,0.807535593738663,0.600065974793947,4,4
"Global","Diseases",2016,4,3.100694444,1.30227083891452,0.564317363529627,5,5
"Global","Diseases",2016,5,3.100694444,1.67039641919592,0.572403358934652,6,6
"Global","Diseases",2017,1,3.214162349,0.638368058291433,0.734123267035148,2,2
"Global","Diseases",2017,2,3.214162349,0.829878475778863,0.73199537350751,3,3
"Global","Diseases",2017,3,3.214162349,1.44271181173864,0.676670141788919,4,4
"Global","Diseases",2017,4,3.214162349,1.85637431351149,0.625600697125605,5,5
