"term","real_est","std.error","statistic","p.value","Region","Risk_Type","Lag","N","mean_sim","sd_sim","q025","q975","z","signif","sig.two"
"Risk_Score",-0.482367206680439,0.0727720091026259,-6.62847175210164,1.64158619852659e-05,"LIC","Geophysical",-5,16,0.0575742169822513,0.260621698628735,-0.454128755730281,0.553149348888959,-2.07174393576437,TRUE,"BOTH"
"Risk_Score",-0.40607577095577,0.0744386887498171,-5.45517093027472,0.000110244305604886,"LIC","Geophysical",-4,16,0.0157256792966136,0.297376363076221,-0.574597017468848,0.576320856134537,-1.41840947239062,FALSE,"REG"
"Risk_Score",-0.39593479590133,0.079863692404172,-4.95763198497753,0.000261869860084862,"LIC","Geophysical",-3,16,0.0167656608936601,0.321477762066602,-0.631562545615094,0.607261705807035,-1.28376051314395,FALSE,"REG"
"Risk_Score",-0.33530335602068,0.0877728065190129,-3.82012800226512,0.00212456598321059,"LIC","Geophysical",-2,16,0.0200485140176186,0.322949226602159,-0.626538149223286,0.617510952962645,-1.10033355328656,FALSE,"REG"
"Risk_Score",-0.348851630736891,0.110842419755033,-3.14727548810165,0.00771198152651863,"LIC","Geophysical",-1,16,0.0165916360974082,0.264058560923164,-0.54013496079076,0.486862640031638,-1.38394780898861,FALSE,"REG"
"Risk_Score",-0.289530083586951,0.132303244472288,-2.18838233893497,0.0474996306527402,"LIC","Geophysical",1,16,0.0148801780046439,0.26319420357088,-0.52276799628141,0.507661117173356,-1.15659941389862,FALSE,"REG"
"Risk_Score",-0.257603385181523,0.151069567151065,-1.70519708263894,0.111921755064491,"LIC","Geophysical",2,16,0.0166643649956031,0.322470192171594,-0.613092831539522,0.62063190675744,-0.85052124765436,FALSE,"NONE"
"Risk_Score",-0.214973107189556,0.119688586635654,-1.79610364891316,0.0957432040589841,"LIC","Geophysical",3,16,0.00585877389067231,0.32375544649675,-0.610592944262891,0.614203120873607,-0.682094721400911,FALSE,"NONE"
"Risk_Score",-0.245694205301782,0.0521938217291135,-4.7073426923389,0.000409750034192329,"LIC","Geophysical",4,16,-0.0917220025643673,0.295731206135338,-0.637160750689396,0.462704795383224,-0.520649155527235,FALSE,"REG"
"Risk_Score",-0.242593384201878,0.0406374411553856,-5.96970127312575,4.67121478733377e-05,"LIC","Geophysical",5,16,-0.139789881037521,0.262076498188461,-0.613888401788922,0.368460833834621,-0.392265250317984,FALSE,"REG"
"Risk_Score",0.275118419268464,0.219902973650236,1.25109003621775,0.231405386499678,"LIC","Diseases",-5,16,0.51699897055197,0.222014216620596,0.0559387457978218,0.924686384209878,-1.08948226363747,FALSE,"NONE"
"Risk_Score",0.230501264451585,0.310353717684513,0.742705021133009,0.469939734264479,"LIC","Diseases",-4,16,0.0022214049509324,0.348202378852571,-0.686969878458498,0.66564855566816,0.65559534731756,FALSE,"NONE"
"Risk_Score",0.337653987538961,0.328116372617637,1.02906778118152,0.320899669632197,"LIC","Diseases",-3,16,0.00296665345960515,0.371922803049443,-0.740352778056952,0.705643566659228,0.899883877340168,FALSE,"NONE"
"Risk_Score",0.594915787633021,0.493488870902927,1.20553030212113,0.247979543794469,"LIC","Diseases",-2,16,0.00594621142137348,0.621816924212449,-1.17515707141153,1.14641539195168,0.947175210706265,FALSE,"NONE"
"Risk_Score",0.783127298499438,0.56538591323385,1.38511993342771,0.187690736866786,"LIC","Diseases",-1,16,0.00832539785559022,0.516217672254225,-1.01426928258512,0.988388478968685,1.50092091435079,FALSE,"NONE"
"Risk_Score",0.503935894013119,0.698116797549277,0.721850406382105,0.482269710169567,"LIC","Diseases",1,16,-0.00142420720963011,0.517067415182922,-1.00266482154891,0.984774044659595,0.977358244560758,FALSE,"NONE"
"Risk_Score",0.328995258617986,0.651869098430124,0.504695282243467,0.621623340576442,"LIC","Diseases",2,16,0.00623786960432878,0.661393134050832,-1.2481091340464,1.24053398124952,0.487996279968717,FALSE,"NONE"
