"Region","Risk_Type","Year","Shock_Value"
"LMC","Economic",2004,3.75193694141105
"LMC","Economic",2005,3.58880924830622
"LMC","Economic",2006,3.4256815552014
"LMC","Economic",2007,3.09942616899174
"LMC","Economic",2008,3.26255386209657
"LMC","Economic",2009,3.26255386209657
"LMC","Economic",2010,2.61004308967725
"LMC","Economic",2011,2.2837877034676
"LMC","Economic",2012,2.2837877034676
"LMC","Economic",2013,1.95753231725794
"LMC","Economic",2014,2.44691539657243
"LMC","Economic",2015,3.26255386209657
"LMC","Economic",2016,2.93629847588691
"LMC","Economic",2017,3.09942616899174
"LMC","Economic",2018,2.93629847588691
"LMC","Economic",2019,1.1418938517338
"LMC","GeoConflict",2001,0.57356823306541
"LMC","GeoConflict",2002,0.544889821412139
"LMC","GeoConflict",2003,0.544889821412139
"LMC","GeoConflict",2004,0.774317114638303
"LMC","GeoConflict",2005,0.60224664471868
"LMC","GeoConflict",2006,0.57356823306541
"LMC","GeoConflict",2007,0.57356823306541
"LMC","GeoConflict",2008,0.60224664471868
"LMC","GeoConflict",2009,0.60224664471868
"LMC","GeoConflict",2010,0.458854586452328
"LMC","GeoConflict",2011,0.630925056371951
"LMC","GeoConflict",2012,0.57356823306541
"LMC","GeoConflict",2013,1.08977964282428
"LMC","GeoConflict",2014,1.86409675746258
"LMC","GeoConflict",2015,2.49502181383453
"LMC","GeoConflict",2016,1.46259899431679
"LMC","GeoConflict",2017,2.46634340218126
"LMC","GeoConflict",2018,2.40898657887472
"LMC","GeoConflict",2019,2.40898657887472
"LMC","GeoConflict",2020,2.5237002254878
"LMC","GeoConflict",2021,2.81048434202051
"LMC","GeoConflict",2022,2.98255481194013
"LMC","GeoConflict",2023,3.29801734012611
"LMC","Terror",2001,0.425392098525499
"LMC","Terror",2002,0.346657742074042
"LMC","Terror",2003,0.295112228138196
"LMC","Terror",2004,0.246398885297726
"LMC","Terror",2005,0.374413018808728
"LMC","Terror",2006,0.542077547654997
"LMC","Terror",2007,0.576630035018586
"LMC","Terror",2008,1.08925300328167
"LMC","Terror",2009,1.06206416076606
"LMC","Terror",2010,1.05526695013716
"LMC","Terror",2011,1.22519721585973
"LMC","Terror",2012,1.9553309242477
"LMC","Terror",2013,2.67753455356862
"LMC","Terror",2014,3.46317881542597
"LMC","Terror",2015,3.28588490485542
"LMC","Terror",2016,2.28612850818763
"LMC","Terror",2017,2.24138020488069
"LMC","Terror",2018,1.89698819968295
"LMC","Terror",2019,1.54013464166555
"LMC","Terror",2020,1.1708195308285
"LMC","Tech",2001,4.05235210410105
"LMC","Tech",2002,4.41772811348721
"LMC","Tech",2003,4.05235210410105
"LMC","Tech",2004,4.05235210410105
"LMC","Tech",2005,4.68345612031351
"LMC","Tech",2006,4.11878410580763
"LMC","Tech",2007,3.32160008532873
"LMC","Tech",2008,2.98944007679586
"LMC","Tech",2009,2.6240640674097
"LMC","Tech",2010,2.6240640674097
"LMC","Tech",2011,3.15552008106229
"LMC","Tech",2012,2.22547205717025
"LMC","Tech",2013,2.39155206143669
"LMC","Tech",2014,2.12582405461039
"LMC","Tech",2015,2.02617605205053
"LMC","Tech",2016,2.19225605631696
"LMC","Tech",2017,2.49120006399655
"LMC","Tech",2018,1.69401604351765
"LMC","Tech",2019,2.05939205290381
"LMC","Tech",2020,1.36185603498478
"LMC","Tech",2021,2.05939205290381
"LMC","Tech",2022,2.45798406314326
"LMC","Tech",2023,2.0926080537571
"LMC","Tech",2024,1.09612802815848
"LIC","Geophysical",2001,1.50136054449739
"LIC","Geophysical",2002,3.50317460382725
"LIC","Geophysical",2003,0.500453514832464
"LIC","Geophysical",2004,2.00181405932985
"LIC","Geophysical",2005,2.00181405932985
"LIC","Geophysical",2006,1.50136054449739
"LIC","Geophysical",2007,1.50136054449739
"LIC","Geophysical",2008,1.00090702966493
"LIC","Geophysical",2009,1.50136054449739
"LIC","Geophysical",2010,1.50136054449739
"LIC","Geophysical",2011,0.500453514832464
"LIC","Geophysical",2012,1.00090702966493
"LIC","Geophysical",2013,0.500453514832464
"LIC","Geophysical",2014,0
"LIC","Geophysical",2015,2.00181405932985
"LIC","Geophysical",2016,1.00090702966493
"LIC","Geophysical",2017,0
"LIC","Geophysical",2018,0.500453514832464
"LIC","Geophysical",2019,0
"LIC","Geophysical",2020,0
"LIC","Geophysical",2021,2.00181405932985
"LIC","Geophysical",2022,1.50136054449739
"LIC","Geophysical",2023,3.50317460382725
"LIC","Geophysical",2024,0
"LIC","Climate",2001,3.15143168380562
"LIC","Climate",2002,3.45888843344519
"LIC","Climate",2003,3.76634518308476
"LIC","Climate",2004,1.84474049783743
"LIC","Climate",2005,4.22753030754412
"LIC","Climate",2006,4.91930799423316
"LIC","Climate",2007,4.84244380682327
"LIC","Climate",2008,3.92007355790455
"LIC","Climate",2009,2.99770330898583
"LIC","Climate",2010,4.38125868236391
"LIC","Climate",2011,3.22829587121551
"LIC","Climate",2012,3.84320937049466
"LIC","Climate",2013,2.38278980970669
"LIC","Climate",2014,1.46041956078797
"LIC","Climate",2015,3.76634518308476
"LIC","Climate",2016,3.07456749639573
"LIC","Climate",2017,2.76711074675615
"LIC","Climate",2018,2.84397493416605
"LIC","Climate",2019,4.84244380682327
"LIC","Climate",2020,4.84244380682327
"LIC","Climate",2021,2.92083912157594
"LIC","Climate",2022,4.61185124459359
"LIC","Climate",2023,2.76711074675615
"LIC","Climate",2024,2.07533306006711
"LIC","Diseases",2001,1.87119839220317
"LIC","Diseases",2002,1.60388433617415
"LIC","Diseases",2003,1.33657028014512
"LIC","Diseases",2004,1.51477965083114
"LIC","Diseases",2005,1.42567496548813
"LIC","Diseases",2006,0.891046853430081
"LIC","Diseases",2007,1.0692562241161
"LIC","Diseases",2008,1.69298902151715
"LIC","Diseases",2009,2.04940776288919
"LIC","Diseases",2010,1.24746559480211
"LIC","Diseases",2011,0.712837482744065
"LIC","Diseases",2012,1.0692562241161
"LIC","Diseases",2013,0.980151538773089
"LIC","Diseases",2014,1.0692562241161
"LIC","Diseases",2015,0.44552342671504
"LIC","Diseases",2016,0.801942168087073
"LIC","Diseases",2017,1.24746559480211
"LIC","Diseases",2018,0.980151538773089
"LIC","Diseases",2019,1.96030307754618
"LIC","Diseases",2020,3.74239678440634
"LIC","Diseases",2021,4.63344363783642
"LIC","Diseases",2022,2.85134993097626
"LIC","Food",2001,1.45193254254738
"LIC","Food",2002,0.725966271273692
"LIC","Food",2003,0
"LIC","Food",2004,0
"LIC","Food",2005,0.725966271273692
"LIC","Food",2006,0
"LIC","Food",2007,0
"LIC","Food",2008,1.45193254254738
"LIC","Food",2009,0.725966271273692
"LIC","Food",2010,0.725966271273692
"LIC","Food",2011,1.45193254254738
"LIC","Food",2012,1.45193254254738
"LIC","Food",2013,3.62983135636846
"LIC","Economic",2001,5.16778251241454
"LIC","Economic",2002,5.16778251241454
"LIC","Economic",2003,4.98321885125688
"LIC","Economic",2004,4.79865519009922
"LIC","Economic",2005,4.79865519009922
"LIC","Economic",2006,4.42952786778389
"LIC","Economic",2007,3.50670956199558
"LIC","Economic",2008,3.32214590083792
"LIC","Economic",2009,3.32214590083792
"LIC","Economic",2010,2.95301857852259
"LIC","Economic",2011,3.13758223968026
"LIC","Economic",2012,2.76845491736493
"LIC","Economic",2013,2.39932759504961
"LIC","Economic",2014,2.95301857852259
"LIC","Economic",2015,3.69127322315324
"LIC","Economic",2016,3.8758368843109
"LIC","Economic",2017,2.95301857852259
"LIC","Economic",2018,2.76845491736493
"LIC","Economic",2019,1.84563661157662
"LIC","GeoConflict",2001,0.537392600801962
"LIC","GeoConflict",2002,0.394087907254772
"LIC","GeoConflict",2003,0.358261733867975
"LIC","GeoConflict",2004,0.42991408064157
"LIC","GeoConflict",2005,0.322435560481177
"LIC","GeoConflict",2006,0.465740254028367
"LIC","GeoConflict",2007,0.465740254028367
"LIC","GeoConflict",2008,0.609044947575557
"LIC","GeoConflict",2009,0.644871120962355
"LIC","GeoConflict",2010,0.644871120962355
"LIC","GeoConflict",2011,0.788175814509545
