"Region","Risk_Type","center_year","start_year","end_year","best_horizon","rolling_predictive_capacity","rolling_predictive_capacity_se","rolling_predictive_capacity_p","rolling_past_at_best_horizon","rolling_past_at_best_horizon_se","rolling_past_at_best_horizon_p","rolling_anticipatory_skill","n_future","n_past"
"UMC","Geophysical",2012,2009,2015,1,-0.344509269528637,0.301273871620048,0.304604959787883,0.0758812118941019,0.170662579734552,0.67517530708968,-0.420390481422739,7,7
"UMC","Geophysical",2013,2010,2016,5,-0.373912647991908,0.116635573732025,0.0238397067979869,0.0115616099471771,0.0969383355243948,0.909707118128053,-0.385474257939085,7,7
"UMC","Geophysical",2014,2011,2017,5,-0.0144999313600851,0.250505235879868,0.956084066868069,-0.247971701587735,0.175458667539844,0.216696502026652,0.23347177022765,7,7
"UMC","Geophysical",2015,2012,2018,5,0.177264701514244,0.241116003704132,0.495242460152694,-0.353683225731698,0.175508827471345,0.0999822278270824,0.530947927245942,7,7
"UMC","Geophysical",2016,2013,2019,4,0.444036175914667,0.389533080922479,0.305965058006183,-0.946000692942187,0.281868015344283,0.0201919091833714,1.39003686885685,7,7
"UMC","Geophysical",2017,2014,2020,4,0.837335708933879,0.514080159365033,0.164283326889298,-1.25436075467715,0.483481757391873,0.0485755313347975,2.09169646361103,7,7
"UMC","Geophysical",2018,2015,2021,5,0.0815577389394902,0.495746784525424,0.875769811637382,0.0931518402994866,0.507390655203088,0.86154808577531,-0.0115941013599964,7,7
"UMC","Geophysical",2019,2016,2022,5,0.0680830067836831,0.323983491152244,0.843825803202695,0.105923895622226,0.374324611693324,0.791237555482735,-0.0378408888385432,6,6
"UMC","Geophysical",2020,2017,2023,5,0.0589333726640227,0.226880992124879,0.811859368726674,0.115063356343958,0.313939475088832,0.738305295183708,-0.0561299836799354,5,5
"UMC","Geophysical",2021,2018,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Climate",2006,2003,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Climate",2007,2004,2010,5,0.0608514184936741,0.0847927454090442,0.52480849363469,-0.171629475626492,0.04492179218346,0.0315598848227847,0.232480894120166,5,5
"UMC","Climate",2008,2005,2011,5,0.0613250278711233,0.0650782627719967,0.399380415005842,-0.240606238856672,0.0744375000014285,0.0319051033950716,0.301931266727795,6,6
"UMC","Climate",2009,2006,2012,5,0.0851157856048757,0.0690808798263612,0.272682463188466,-0.259277396401695,0.0716297892512768,0.0152245430130437,0.34439318200657,7,7
"UMC","Climate",2010,2007,2013,4,0.141405831167219,0.117823950959588,0.283839523171572,-0.196855911748591,0.140395458978163,0.21979864677937,0.33826174291581,7,7
"UMC","Climate",2011,2008,2014,2,0.409572154732457,0.279053094055943,0.202104976793147,-0.125593895430736,0.182690912589567,0.522371658724558,0.535166050163192,7,7
"UMC","Climate",2012,2009,2015,2,0.394527687660013,0.236640198029955,0.156349329433738,0.11735085587879,0.233621107127504,0.636783101439235,0.277176831781223,7,7
"UMC","Climate",2013,2010,2016,1,0.705505052966006,0.46517616450181,0.189802164074226,0.976607391923275,0.34859950953402,0.0379256899475338,-0.271102338957269,7,7
"UMC","Climate",2014,2011,2017,5,0.440765587111146,0.275319183768869,0.170292007927242,0.249242179726134,0.107817506613403,0.0687609724284654,0.191523407385012,7,7
"UMC","Climate",2015,2012,2018,5,0.673680132603126,0.289843254908089,0.0676907460595652,0.080778341440982,0.133682586038504,0.57204189449044,0.592901791162144,7,7
"UMC","Climate",2016,2013,2019,4,1.34562286511636,0.645217158509466,0.0914168165779069,0.0348242595232822,0.228843962748788,0.884999063327126,1.31079860559308,7,7
"UMC","Climate",2017,2014,2020,4,2.54087415768378,0.634551748220653,0.0102804463776777,-0.295640534231298,0.296003060818304,0.363755898181228,2.83651469191507,7,7
"UMC","Climate",2018,2015,2021,3,2.16508131039077,1.76720426833496,0.275081523361707,-1.67621205579879,0.433653494134003,0.0118160552324349,3.84129336618956,7,7
"UMC","Climate",2019,2016,2022,3,1.70476053848667,2.12167752811948,0.46672038212595,-1.78058121045127,0.523057907494521,0.0271726209980784,3.48534174893794,6,6
"UMC","Climate",2020,2017,2023,4,0.723828782353864,1.0567432022934,0.542544586484555,-1.27280300090608,0.398032467141805,0.0494173587896957,1.99663178325994,5,5
"UMC","Climate",2021,2018,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UMC","Diseases",2006,2003,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
